product,age_group,gender,state,ry,rydesc,prjtrx
OZEMPIC,75 to 84,FEMALE,MI,3,Nov 2022 - Oct 2023,22368
OZEMPIC,75 to 84,FEMALE,OH,1,Nov 2024 - Oct 2025,60917
OZEMPIC,75 to 84,FEMALE,OH,2,Nov 2023 - Oct 2024,44449
OZEMPIC,75 to 84,FEMALE,OH,3,Nov 2022 - Oct 2023,22488
OZEMPIC,75 to 84,MALE,MI,1,Nov 2024 - Oct 2025,40018
OZEMPIC,75 to 84,MALE,MI,2,Nov 2023 - Oct 2024,30147
OZEMPIC,75 to 84,MALE,MI,3,Nov 2022 - Oct 2023,17684
OZEMPIC,75 to 84,MALE,OH,1,Nov 2024 - Oct 2025,46261
OZEMPIC,75 to 84,MALE,OH,2,Nov 2023 - Oct 2024,32896
OZEMPIC,75 to 84,MALE,OH,3,Nov 2022 - Oct 2023,16718
OZEMPIC,75 to 84,UNKNOWN,MI,1,Nov 2024 - Oct 2025,5
OZEMPIC,75 to 84,UNKNOWN,OH,1,Nov 2024 - Oct 2025,1
OZEMPIC,75 to 84,UNKNOWN,OH,3,Nov 2022 - Oct 2023,0
OZEMPIC,85+,FEMALE,MI,1,Nov 2024 - Oct 2025,4238
OZEMPIC,85+,FEMALE,MI,2,Nov 2023 - Oct 2024,3126
OZEMPIC,85+,FEMALE,MI,3,Nov 2022 - Oct 2023,1633
OZEMPIC,85+,FEMALE,OH,1,Nov 2024 - Oct 2025,4674
OZEMPIC,85+,FEMALE,OH,2,Nov 2023 - Oct 2024,3486
OZEMPIC,85+,FEMALE,OH,3,Nov 2022 - Oct 2023,1870
OZEMPIC,85+,MALE,MI,1,Nov 2024 - Oct 2025,3917
OZEMPIC,85+,MALE,MI,2,Nov 2023 - Oct 2024,2573
OZEMPIC,85+,MALE,MI,3,Nov 2022 - Oct 2023,1285
OZEMPIC,85+,MALE,OH,1,Nov 2024 - Oct 2025,3900
OZEMPIC,85+,MALE,OH,2,Nov 2023 - Oct 2024,2503
OZEMPIC,85+,MALE,OH,3,Nov 2022 - Oct 2023,1339
OZEMPIC,85+,UNKNOWN,MI,2,Nov 2023 - Oct 2024,2
OZEMPIC,85+,UNKNOWN,MI,3,Nov 2022 - Oct 2023,22
OZEMPIC,85+,UNKNOWN,OH,3,Nov 2022 - Oct 2023,4
OZEMPIC,Under 20,FEMALE,MI,1,Nov 2024 - Oct 2025,594
OZEMPIC,Under 20,FEMALE,MI,2,Nov 2023 - Oct 2024,487
OZEMPIC,Under 20,FEMALE,MI,3,Nov 2022 - Oct 2023,402
OZEMPIC,Under 20,FEMALE,OH,1,Nov 2024 - Oct 2025,473
OZEMPIC,Under 20,FEMALE,OH,2,Nov 2023 - Oct 2024,722
OZEMPIC,Under 20,FEMALE,OH,3,Nov 2022 - Oct 2023,794
OZEMPIC,Under 20,MALE,MI,1,Nov 2024 - Oct 2025,288
OZEMPIC,Under 20,MALE,MI,2,Nov 2023 - Oct 2024,227
OZEMPIC,Under 20,MALE,MI,3,Nov 2022 - Oct 2023,308
OZEMPIC,Under 20,MALE,OH,1,Nov 2024 - Oct 2025,288
OZEMPIC,Under 20,MALE,OH,2,Nov 2023 - Oct 2024,309
OZEMPIC,Under 20,MALE,OH,3,Nov 2022 - Oct 2023,315
OZEMPIC,Unspecified,FEMALE,MI,1,Nov 2024 - Oct 2025,39
OZEMPIC,Unspecified,FEMALE,MI,2,Nov 2023 - Oct 2024,9
OZEMPIC,Unspecified,FEMALE,MI,3,Nov 2022 - Oct 2023,41
OZEMPIC,Unspecified,FEMALE,OH,1,Nov 2024 - Oct 2025,22
OZEMPIC,Unspecified,FEMALE,OH,2,Nov 2023 - Oct 2024,1259
OZEMPIC,Unspecified,FEMALE,OH,3,Nov 2022 - Oct 2023,1655
OZEMPIC,Unspecified,MALE,MI,1,Nov 2024 - Oct 2025,17
OZEMPIC,Unspecified,MALE,MI,2,Nov 2023 - Oct 2024,4
OZEMPIC,Unspecified,MALE,MI,3,Nov 2022 - Oct 2023,23
OZEMPIC,Unspecified,MALE,OH,1,Nov 2024 - Oct 2025,24
OZEMPIC,Unspecified,MALE,OH,2,Nov 2023 - Oct 2024,718
OZEMPIC,Unspecified,MALE,OH,3,Nov 2022 - Oct 2023,883
OZEMPIC,Unspecified,UNKNOWN,MI,1,Nov 2024 - Oct 2025,4668
OZEMPIC,Unspecified,UNKNOWN,MI,2,Nov 2023 - Oct 2024,3775
OZEMPIC,Unspecified,UNKNOWN,MI,3,Nov 2022 - Oct 2023,3701
OZEMPIC,Unspecified,UNKNOWN,OH,1,Nov 2024 - Oct 2025,2
OZEMPIC,Unspecified,UNKNOWN,OH,2,Nov 2023 - Oct 2024,230
OZEMPIC,Unspecified,UNKNOWN,OH,3,Nov 2022 - Oct 2023,253
RYBELSUS,20 to 39,FEMALE,MI,1,Nov 2024 - Oct 2025,1433
RYBELSUS,20 to 39,FEMALE,MI,2,Nov 2023 - Oct 2024,1946
RYBELSUS,20 to 39,FEMALE,MI,3,Nov 2022 - Oct 2023,2249
RYBELSUS,20 to 39,FEMALE,OH,1,Nov 2024 - Oct 2025,1680
RYBELSUS,20 to 39,FEMALE,OH,2,Nov 2023 - Oct 2024,2595
RYBELSUS,20 to 39,FEMALE,OH,3,Nov 2022 - Oct 2023,3152
RYBELSUS,20 to 39,MALE,MI,1,Nov 2024 - Oct 2025,1500
RYBELSUS,20 to 39,MALE,MI,2,Nov 2023 - Oct 2024,1934
RYBELSUS,20 to 39,MALE,MI,3,Nov 2022 - Oct 2023,1952
RYBELSUS,20 to 39,MALE,OH,1,Nov 2024 - Oct 2025,1880
RYBELSUS,20 to 39,MALE,OH,2,Nov 2023 - Oct 2024,2489
RYBELSUS,20 to 39,MALE,OH,3,Nov 2022 - Oct 2023,2694
RYBELSUS,20 to 39,UNKNOWN,MI,1,Nov 2024 - Oct 2025,1
RYBELSUS,20 to 39,UNKNOWN,OH,3,Nov 2022 - Oct 2023,1
RYBELSUS,40 to 59,FEMALE,MI,1,Nov 2024 - Oct 2025,13414
RYBELSUS,40 to 59,FEMALE,MI,2,Nov 2023 - Oct 2024,17649
RYBELSUS,40 to 59,FEMALE,MI,3,Nov 2022 - Oct 2023,18665
RYBELSUS,40 to 59,FEMALE,OH,1,Nov 2024 - Oct 2025,18420
RYBELSUS,40 to 59,FEMALE,OH,2,Nov 2023 - Oct 2024,24954
RYBELSUS,40 to 59,FEMALE,OH,3,Nov 2022 - Oct 2023,25551
RYBELSUS,40 to 59,MALE,MI,1,Nov 2024 - Oct 2025,17247
RYBELSUS,40 to 59,MALE,MI,2,Nov 2023 - Oct 2024,21724
